AccNum,GeneName,txReads2,txRPKM2,cdReads2,cdRPKM2
NM_001406,EFNB3,9.0,2.07821949614,4.0,2.90639233543
NM_001198819,A1CF,0.0,-,0.0,-
NM_001330725,TRMO,22.0,9.34446655732,16.0,13.3929700863
NM_001145901,SARS2,98.0,35.2757212102,81.0,38.5208554208
NM_007129,ZIC2,31.0,7.68342948763,24.0,11.1566204846
NM_007128,VPREB1,0.0,-,0.0,-
NM_001276378,LZTFL1,17.0,2.90890130672,9.0,7.87960960905
NM_001039876,SYNE4,4.0,2.17819733271,2.0,1.22355529183
NM_001276374,WDR38,0.0,-,0.0,-
NM_007121,NR1H2,88.0,31.2972564121,68.0,36.5474107777
NM_007120,UGT1A4,0.0,-,0.0,-
NM_181361,KCNMB2,0.0,-,0.0,-
NM_001322041,NUTF2,81.0,23.9015867498,28.0,54.1996758178
NM_001040167,LFNG,15.0,4.69656596327,11.0,7.17228792777
NM_017631,DDX60,11.0,1.34635406515,4.0,0.578563798239
NM_001007471,TRPM3,0.0,-,0.0,-
NM_001008219,AMY1C,0.0,-,0.0,-
NM_001320296,NPFF,1.0,0.902075048285,1.0,2.11769185125
NM_014235,UBL4A,99.0,30.8932301171,31.0,48.6130907878
NM_145026,SPATS1,0.0,-,0.0,-
NM_003808,TNFSF13,0.0,-,0.0,-
NM_003809,TNFSF12,0.0,-,0.0,-
NM_001900,CST5,0.0,-,0.0,-
NM_003802,MYH13,1.0,0.124050373796,1.0,0.1277823345
NM_005213,CSTA,0.0,-,0.0,-
NM_001316692,GNG14,0.0,-,0.0,-
NM_001322830,KCNMA1,18.0,1.10721425986,17.0,3.47245597043
NM_199235,COLEC11,2.0,0.833306995277,1.0,0.921077868385
NM_017632,CDKN2AIP,68.0,14.0872544887,48.0,20.4698062592
NM_014236,GNPAT,51.0,14.1450753094,33.0,12.006473183
NM_001351934,ME3,13.0,4.08930508558,12.0,4.91444522173
NM_001669,ARSD,11.0,1.57754355347,6.0,2.50272673329
NM_004298,NUP155,146.0,22.8614359825,123.0,22.8624931967
NM_001351937,KLHDC4,44.0,16.9283814444,25.0,18.2183784262
NM_020715,PLEKHH1,3.0,0.340967816416,2.0,0.363032888785
NM_004297,GNA14,0.0,-,0.0,-
NM_020717,SHROOM4,29.0,2.25481018345,20.0,3.31686675496
NM_001667,ARL2,58.0,43.9918068445,45.0,60.2683653881
NM_020711,ERMN,0.0,-,0.0,-
NM_001661,ARL4D,8.0,3.75172158883,5.0,6.13291947019
NM_001662,ARF5,81.0,54.9343950937,58.0,79.3958944892
NM_014722,RIPOR2,79.0,10.3419297892,56.0,12.9795294755
NM_144622,DCST2,0.0,-,0.0,-
NM_001161529,CSF2RA,0.0,-,0.0,-
NM_001135057,LRRC15,1.0,0.125136336664,0.0,-
NM_144625,WDR64,0.0,-,0.0,-
NM_000139,MS4A2,0.0,-,0.0,-
NM_001135054,SIGIRR,58.0,24.7343492299,48.0,28.9366360988
NM_144628,TBC1D20,53.0,8.81526549759,24.0,14.7190067285
NM_024017,HOXB9,56.0,15.4167966771,25.0,24.6782815334
NM_024014,HOXA6,6.0,5.56092149467,6.0,6.35307555374
NM_024015,HOXB4,6.0,2.19373292608,4.0,3.93285629517
NM_000133,F9,0.0,-,0.0,-
NM_000132,F8,1.0,0.0822700431419,0.0,-
NM_000131,F7,0.0,-,0.0,-
NM_000130,F5,0.0,-,0.0,-
NM_134260,RORA,13.0,0.8786168319,11.0,4.89312282325
NM_021008,DEAF1,108.0,29.3519059221,99.0,43.3378528498
