AccNum	ExonReads	RefseqReads	IntronReads	GenomeRefseqReads	CD_GenomeRefseqReads	fpUTR_reads	tpUTR_reads
NM_001258446	171.0	0	53.0	171.0	146.0	25.0	0
NM_001319193	40.0	0	1.0	40.0	38.0	2.0	0
NM_022373	222.0	0	7.0	222.0	76.0	146.0	0
NM_173565	0	0	0	0	0	0	0
NM_001346116	93.0	0	9.0	93.0	80.0	10.0	3.0
NM_000395	0	0	0	0	0	0	0
NM_005421	7.0	0	0	7.0	6.0	1.0	0
NM_001286072	566.0	0	12.0	566.0	416.0	147.0	3.0
NM_033512	385.0	0	0	385.0	336.0	48.0	1.0
NM_015063	4.0	0	0	4.0	3.0	0	1.0
NM_001143987	0	0	0	0	0	0	0
NM_013304	17.0	0	17.0	17.0	5.0	12.0	0
NM_000867	2.0	0	0	2.0	0	2.0	0
NM_003400	2166.0	0	2.0	2166.0	1539.0	609.0	18.0
NM_001197	6.0	0	0	6.0	6.0	0	0
NM_001322015	27.0	0	3.0	27.0	20.0	7.0	0
NM_001351356	605.0	0	0	605.0	590.0	14.0	1.0
NM_020660	1.0	0	0	1.0	1.0	0	0
NM_001286470	121.0	0	2.0	121.0	102.0	19.0	0
NM_001316722	0	0	0	0	0	0	0
NM_014239	651.0	0	1.0	651.0	576.0	70.0	5.0
NM_001321023	15.0	0	0	15.0	15.0	0	0
NM_001161429	1.0	0	0	1.0	0	1.0	0
NM_174976	11.0	0	0	11.0	9.0	2.0	0
NM_001039111	11.0	0	0	11.0	11.0	0	0
NM_147164	101.0	0	6.0	101.0	73.0	26.0	2.0
NM_001198819	0	0	0	0	0	0	0
NM_001015	5455.0	0	13.0	5455.0	5403.0	36.0	16.0
NM_000505	22.0	0	4.0	22.0	22.0	0	0
NM_001286748	379.0	0	10.0	379.0	332.0	38.0	9.0
NM_207444	0	0	0	0	0	0	0
NM_001293171	0	0	0	0	0	0	0
NM_001085480	0	0	0	0	0	0	0
NM_002253	0	0	0	0	0	0	0
NM_133468	0	0	0	0	0	0	0
NM_006858	246.0	0	2.0	246.0	205.0	40.0	1.0
NM_001352130	29.0	0	5.0	29.0	19.0	10.0	0
NM_002947	263.0	0	0	263.0	232.0	31.0	0
NM_003105	82.0	0	1.0	82.0	74.0	7.0	1.0
NM_005581	425.0	0	4.0	425.0	418.0	7.0	0
NM_016256	77.0	0	1.0	77.0	74.0	3.0	0
NM_144980	2.0	0	0	2.0	2.0	0	0
NM_001287140	125.0	0	1.0	125.0	121.0	0	4.0
NM_001030007	501.0	0	77.0	501.0	397.0	93.0	11.0
NM_001114132	92.0	0	12.0	92.0	66.0	25.0	1.0
NM_014615	531.0	0	1.0	531.0	483.0	39.0	9.0
NM_001136107	0	0	0	0	0	0	0
NM_022567	0	0	0	0	0	0	0
NM_080538	0	0	0	0	0	0	0
NM_000310	1290.0	0	1.0	1290.0	1096.0	171.0	23.0
NM_144736	73.0	0	0	73.0	59.0	11.0	3.0
NM_014586	172.0	0	2.0	172.0	134.0	35.0	3.0
NM_001206482	3.0	0	1.0	3.0	3.0	0	0
NM_002065	604.0	0	6.0	604.0	566.0	37.0	1.0
NM_006568	31.0	0	1.0	31.0	22.0	8.0	1.0
NM_023079	769.0	0	3.0	769.0	510.0	244.0	15.0
NM_001100814	295.0	0	0	295.0	156.0	139.0	0
NM_178470	0	0	0	0	0	0	0
NM_201566	9.0	0	0	9.0	5.0	4.0	0
NM_032805	2.0	0	0	2.0	2.0	0	0
NM_030622	2.0	0	0	2.0	1.0	1.0	0
NM_001040427	98.0	0	2.0	98.0	71.0	27.0	0
NM_001308115	394.0	0	7.0	394.0	353.0	24.0	17.0
NM_017433	0	0	0	0	0	0	0
NM_017998	184.0	0	1.0	184.0	145.0	38.0	1.0
NM_021259	114.0	0	0	114.0	75.0	37.0	2.0
NM_000619	0	0	0	0	0	0	0
NM_020151	1349.0	0	0	1349.0	292.0	1041.0	16.0
NM_001001394	0	0	0	0	0	0	0
NM_001320808	71.0	0	1.0	71.0	62.0	8.0	1.0
NM_001349794	0	0	0	0	0	0	0
NM_001282628	8.0	0	0	8.0	8.0	0	0
