AccNum	ExonReads	RefseqReads	IntronReads	GenomeRefseqReads	CD_GenomeRefseqReads	fpUTR_reads	tpUTR_reads
NM_000137	73.0	0	35.0	73.0	54.0	8.0	11.0
NM_152531	330.0	0	84.0	330.0	170.0	20.0	140.0
NM_006401	76.0	0	50.0	76.0	31.0	12.0	33.0
NM_001352769	1.0	0	4.0	1.0	0	0	1.0
NM_003914	34.0	0	1.0	34.0	29.0	3.0	2.0
NM_001195014	0	0	0	0	0	0	0
NM_001102651	37.0	0	14.0	37.0	26.0	5.0	6.0
NM_001145369	220.0	0	14.0	220.0	143.0	2.0	75.0
NM_052972	0	0	0	0	0	0	0
NM_018135	482.0	0	32.0	482.0	243.0	13.0	226.0
NM_001253790	0	0	0	0	0	0	0
NM_001034077	0	0	0	0	0	0	0
NM_025225	24.0	0	13.0	24.0	11.0	3.0	10.0
NM_152259	259.0	0	27.0	259.0	235.0	0	24.0
NM_012279	132.0	0	36.0	132.0	66.0	6.0	60.0
NM_024114	0	0	0	0	0	0	0
NM_025265	41.0	0	11.0	41.0	34.0	5.0	2.0
NM_024814	87.0	0	15.0	87.0	50.0	6.0	31.0
NM_012384	648.0	0	65.0	648.0	294.0	34.0	320.0
NM_002153	0	0	0	0	0	0	0
NM_001040451	116.0	0	14.0	116.0	81.0	4.0	31.0
NM_024913	47.0	0	21.0	47.0	31.0	11.0	5.0
NM_003278	0	0	0	0	0	0	0
NM_001267598	2.0	0	11.0	2.0	2.0	0	0
NM_014801	173.0	0	68.0	173.0	156.0	14.0	3.0
NM_006272	0	0	0	0	0	0	0
NM_014462	95.0	0	13.0	95.0	38.0	33.0	24.0
NM_005310	1.0	0	0	1.0	1.0	0	0
NM_004779	188.0	0	23.0	188.0	101.0	23.0	64.0
NM_001669	32.0	0	3.0	32.0	18.0	2.0	12.0
NM_001349660	176.0	0	35.0	176.0	76.0	83.0	17.0
NM_001199479	56.0	0	19.0	56.0	49.0	4.0	3.0
NM_007344	74.0	0	10.0	74.0	69.0	1.0	4.0
NM_020124	0	0	0	0	0	0	0
NM_007102	0	0	0	0	0	0	0
NM_000397	0	0	0	0	0	0	0
NM_001005177	0	0	0	0	0	0	0
NM_001194	62.0	0	22.0	62.0	57.0	0	5.0
NM_002835	144.0	0	76.0	144.0	115.0	1.0	28.0
NM_024589	90.0	0	3.0	90.0	46.0	14.0	30.0
NM_001135691	107.0	0	20.0	107.0	52.0	24.0	31.0
NM_001257096	0	0	0	0	0	0	0
NM_170711	1468.0	0	177.0	1468.0	769.0	197.0	502.0
NM_003169	956.0	0	27.0	956.0	874.0	40.0	42.0
NM_199286	0	0	0	0	0	0	0
NM_182643	584.0	0	160.0	584.0	505.0	0	79.0
NM_020309	12.0	0	2.0	12.0	9.0	2.0	1.0
NM_001293172	0	0	0	0	0	0	0
NM_000453	0	0	2.0	0	0	0	0
NM_153213	96.0	0	18.0	96.0	84.0	0	12.0
NM_001010980	0	0	0	0	0	0	0
NM_001321685	31.0	0	6.0	31.0	23.0	4.0	4.0
NM_018348	75.0	0	5.0	75.0	53.0	12.0	10.0
NM_014606	44.0	0	2.0	44.0	32.0	2.0	10.0
NM_001256819	0	0	0	0	0	0	0
NM_000118	142.0	0	17.0	142.0	83.0	12.0	47.0
NM_001330989	52.0	0	16.0	52.0	9.0	8.0	35.0
NM_001277093	27.0	0	42.0	27.0	18.0	4.0	5.0
NM_001319050	449.0	0	10.0	449.0	366.0	44.0	39.0
NM_024548	154.0	0	25.0	154.0	92.0	6.0	56.0
NM_000667	0	0	0	0	0	0	0
NM_001281293	97.0	0	36.0	97.0	76.0	4.0	17.0
NM_001330348	103.0	0	27.0	103.0	85.0	10.0	8.0
NM_057090	25.0	0	4.0	25.0	10.0	6.0	9.0
NM_024616	51.0	0	0	51.0	12.0	2.0	37.0
NM_001085377	129.0	0	32.0	129.0	89.0	4.0	36.0
NM_004058	2.0	0	1.0	2.0	2.0	0	0
NM_198949	203.0	0	18.0	203.0	168.0	4.0	31.0
NM_152621	54.0	0	1.0	54.0	25.0	8.0	21.0
NM_001014980	8.0	0	2.0	8.0	6.0	0	2.0
NM_002242	0	0	0	0	0	0	0
NM_152336	0	0	7.0	0	0	0	0
NM_001258446	167.0	0	30.0	167.0	152.0	13.0	2.0
NM_001319193	144.0	0	20.0	144.0	119.0	2.0	23.0
NM_022373	145.0	0	18.0	145.0	64.0	58.0	23.0
NM_173565	0	0	0	0	0	0	0
NM_001346116	234.0	0	10.0	234.0	171.0	13.0	50.0
NM_000395	0	0	0	0	0	0	0
NM_005421	5.0	0	0	5.0	2.0	0	3.0
NM_001286072	804.0	0	85.0	804.0	661.0	107.0	36.0
NM_033512	596.0	0	0	596.0	244.0	27.0	325.0
NM_015063	2.0	0	3.0	2.0	2.0	0	0
NM_001143987	0	0	0	0	0	0	0
NM_013304	63.0	0	29.0	63.0	50.0	6.0	7.0
NM_000867	3.0	0	0	3.0	1.0	2.0	0
NM_003400	1935.0	0	320.0	1935.0	1302.0	437.0	196.0
NM_001197	6.0	0	3.0	6.0	4.0	0	2.0
NM_001322015	64.0	0	9.0	64.0	49.0	13.0	2.0
NM_001351356	759.0	0	29.0	759.0	657.0	13.0	89.0
NM_020660	0	0	0	0	0	0	0
NM_001286470	138.0	0	58.0	138.0	96.0	17.0	25.0
NM_001316722	0	0	0	0	0	0	0
NM_014239	462.0	0	8.0	462.0	342.0	23.0	97.0
NM_001321023	5.0	0	2.0	5.0	4.0	1.0	0
NM_001161429	0	0	0	0	0	0	0
NM_174976	22.0	0	1.0	22.0	7.0	1.0	14.0
NM_001039111	57.0	0	15.0	57.0	33.0	0	24.0
NM_147164	42.0	0	11.0	42.0	26.0	6.0	10.0
NM_001198819	0	0	0	0	0	0	0
NM_001015	3416.0	0	132.0	3416.0	3242.0	127.0	47.0
NM_000505	22.0	0	2.0	22.0	20.0	0	2.0
NM_001286748	442.0	0	46.0	442.0	218.0	16.0	208.0
NM_207444	0	0	0	0	0	0	0
NM_001293171	1.0	0	0	1.0	0	1.0	0
NM_001085480	0	0	0	0	0	0	0
NM_002253	0	0	0	0	0	0	0
NM_133468	0	0	1.0	0	0	0	0
NM_006858	647.0	0	3.0	647.0	378.0	48.0	221.0
NM_001352130	26.0	0	9.0	26.0	14.0	5.0	7.0
NM_002947	150.0	0	14.0	150.0	101.0	36.0	13.0
NM_003105	60.0	0	11.0	60.0	47.0	0	13.0
NM_005581	261.0	0	5.0	261.0	223.0	14.0	24.0
NM_016256	167.0	0	7.0	167.0	123.0	2.0	42.0
NM_144980	1.0	0	1.0	1.0	1.0	0	0
NM_001287140	61.0	0	2.0	61.0	23.0	0	38.0
NM_001030007	379.0	0	119.0	379.0	223.0	42.0	114.0
NM_001114132	82.0	0	34.0	82.0	71.0	7.0	4.0
NM_014615	350.0	0	106.0	350.0	218.0	7.0	125.0
NM_001136107	0	0	0	0	0	0	0
NM_022567	0	0	1.0	0	0	0	0
NM_080538	2.0	0	3.0	2.0	0	0	2.0
NM_000310	612.0	0	5.0	612.0	275.0	19.0	318.0
NM_144736	53.0	0	8.0	53.0	45.0	4.0	4.0
NM_014586	198.0	0	22.0	198.0	77.0	14.0	107.0
NM_001206482	3.0	0	5.0	3.0	2.0	0	1.0
NM_002065	871.0	0	22.0	871.0	471.0	46.0	354.0
NM_006568	40.0	0	5.0	40.0	31.0	3.0	6.0
NM_023079	994.0	0	26.0	994.0	421.0	56.0	517.0
NM_001100814	230.0	0	6.0	230.0	121.0	15.0	94.0
NM_178470	0	0	0	0	0	0	0
NM_201566	1.0	0	0	1.0	0	1.0	0
NM_032805	0	0	0	0	0	0	0
NM_030622	1.0	0	0	1.0	0	0	1.0
NM_001040427	126.0	0	13.0	126.0	84.0	33.0	9.0
NM_001308115	282.0	0	30.0	282.0	197.0	10.0	75.0
NM_017433	0	0	0	0	0	0	0
NM_017998	76.0	0	4.0	76.0	37.0	20.0	19.0
NM_021259	620.0	0	24.0	620.0	463.0	27.0	130.0
NM_000619	0	0	0	0	0	0	0
NM_020151	2270.0	0	17.0	2270.0	855.0	524.0	891.0
NM_001001394	0	0	0	0	0	0	0
NM_001320808	215.0	0	29.0	215.0	74.0	5.0	136.0
NM_001349794	0	0	0	0	0	0	0
NM_001282628	2.0	0	1.0	2.0	2.0	0	0
NM_001318392	0	0	0	0	0	0	0
NM_144650	0	0	3.0	0	0	0	0
NM_016451	467.0	0	17.0	467.0	388.0	54.0	25.0
NM_001355471	0	0	0	0	0	0	0
NM_194291	156.0	0	11.0	156.0	58.0	52.0	46.0
NM_015703	483.0	0	16.0	483.0	203.0	16.0	264.0
