AccNum,cdReads0_RNA_2,cdReads1_RNA_2,cdReads2_RNA_2,cdReads3_RNA_2,cdReads4_RNA_2
NM_001292003,67,99,81,61,50
NM_001330698,148,257,231,198,154
NM_024419,458,443,405,226,231
NM_001287510,8,4,5,8,4
NM_002775,55,52,49,30,25
NM_001318792,212,191,215,94,92
NM_004041,218,230,178,146,143
NM_001318794,729,812,762,462,299
NM_002156,762,1109,925,581,448
NM_145111,110,86,40,42,40
NM_001291953,17,20,14,17,12
NM_001560,85,117,63,41,58
NM_005099,36,32,41,24,17
NM_001291958,162,231,172,125,112
NM_032561,2,1,3,3,1
NM_002779,45,56,44,36,22
NM_001130020,260,286,257,190,165
NM_003683,342,430,406,248,193
NM_004045,83,79,84,53,46
NM_001130026,4,7,4,1,2
NM_001130028,148,143,173,112,104
NM_004044,386,364,279,180,131
NM_033163,5,6,9,2,5
NM_001242875,370,477,413,256,218
NM_001349220,330,397,351,226,187
NM_001287060,90,161,95,87,67
NM_001330692,703,804,693,481,306
NM_014680,2183,2304,1923,1211,1051
NM_014681,595,570,551,367,360
NM_001568,548,830,650,526,417
NM_001353345,62,42,36,20,39
NM_014685,174,216,199,124,108
NM_014686,387,464,359,229,207
NM_030952,53,107,174,113,144
NM_001330311,695,720,697,409,366
NM_020879,5,3,11,7,5
NM_001353438,13,8,11,5,2
NM_080652,60,68,72,53,43
NM_006415,237,374,253,202,175
NM_080656,145,115,118,80,76
NM_080657,3,9,10,3,5
NM_001093729,41,78,55,46,53
NM_001345927,24,29,19,16,19
NM_001093725,254,190,177,107,85
NM_001099409,1086,1129,1020,668,551
NM_033386,535,507,452,290,261
NM_000213,29,38,40,20,19
NM_001099402,58,62,56,36,43
NM_000210,391,500,203,128,250
NM_001110514,35,26,40,20,27
NM_003419,19,17,9,3,9
NM_133631,481,597,364,307,255
NM_001317980,50,56,51,41,20
NM_001278248,8,9,4,6,4
NM_032389,484,602,603,390,358
NM_014977,993,1288,1316,901,751
NM_001013838,111,114,126,92,61
NM_014975,62,60,56,30,37
NM_014972,666,898,928,634,527
NM_005005,942,1120,925,618,446
NM_014971,19,14,19,15,17
NM_005008,608,525,494,316,234
NM_032383,96,97,86,50,45
NM_032385,29,32,33,20,15
NM_080386,5,7,7,3,2
NM_177424,152,151,161,106,77
NM_018079,181,266,190,203,157
NM_004146,916,859,846,484,342
NM_004994,6,3,1,1,1
NM_018073,72,60,65,45,41
NM_018072,672,918,559,385,383
NM_015087,289,404,249,201,157
NM_176824,36,56,39,35,25
NM_176822,3,3,2,3,2
NM_001034853,33,44,36,26,29
NM_001034852,38,65,39,28,28
