LIST_1	LIST_2	LIST_3	LIST_4	LIST_5	LIST_6
CLASP1	KIF22	CCDC106	KLHL26		EMILIN3
THG1L	GPX1	ZFYVE26	FDX1L		SLC8A3
SEC23IP	STAT6	DAAM2	SLC35E1		CA11
POLR2B	CTSD	PTPN9	STMN3		FAM76A
CUEDC2	CAPN1	ZNF562	C18orf25		FAM83D
ATXN7L3B	CBR1	SASH1	PYCR2		PCSK5
PSMD7	OSBPL2	PTP4A2	METTL16		TRAM1
AMPD3	STARD4	USP54	AHSA1		RNF2
ZRANB2	RPL7L1	ZNF639	L3HYPDH		NOTCH1
NKIRAS2	BCL7C	CRIM1	SNRPB		GTF3C4
DDX27	PSMD8	KIAA0930	COG8		RAVER1
EHMT2	PTBP1	CECR2	MRPS26		ABCD1
RFC2	AKIRIN1	TMUB1	PIGU		INPP5K
BOLA3	FAM210B	LRRC14	TSPO		YIF1A
SCCPDH	SYP	PIP4K2B	KDELC2		TUBB6
DISC1	GPKOW	MMACHC	TMEM38B		BORCS7
NCAPG2	EIF4E2	PRDM5	SEC61G		ZNF772
ARHGEF2	ABHD5	CCDC136	DGCR6		INCENP
ZNF407	NNMT	TNS3	ENTPD4		TIMMDC1
TMEM175	AP2S1	ZBTB12	SDC1		SNRNP25
EIF3L	RNF114	RARA	JKAMP		SOX8
DNA2	NSUN2	ABR	NDUFA6		HUNK
SOD1	ATG4B	JPH2	TARBP2		PRMT6
FIGNL1	CNPPD1	UBAC1	COMT		EGFR
PPP2CA	BLVRB	MGA	RAB34		FURIN
RTCA	OGFR	CXXC5	CTSB		CDK11B
DIS3L2	ZNF143	ITGB5	ATP6V0D1		WIZ
ANO10	PLAT	DAG1	NT5C		MRPS18C
PNO1	WDR76	RIPOR1	ZNHIT1		PNPLA6
GOSR1	CTNND1	HYAL2	RPRD1B		GSTCD
NCAPD3	PGLS	PANX1	SLC35E3		SNUPN
RIOK2	EIF6	TTC28	ITM2C		MR1
DHX16	PPP1R7	SETDB1	NDUFA11		UBE3D
MAT2B	C11orf49	TRABD2A	POLD2		DDHD1
ARCN1	HYOU1	HIC2	KANK1		TADA3
MAVS	SRSF3	ATP13A2	NTAN1		METTL17
EIF2AK1	NEIL2	UBE3B	GOLGA7		CEP164
NFE2L1	TMEM53	SMURF2	ETV4		LDB1
GMPS	DAP3	USP37	LRRC57		MAPK7
