list1	list2	list3	list4
		OXCT1	
		NEU1	
		YWHAQ	
		PCSK1	
		NTMT1	
		UGGT1	
		YBX1	
		SRP54	
		TCOF1	
		IPO9	
		NOL9	
		OIP5	
		RNF13	
		TWF2	
		SLC25A43	
		KDM5B	
		MED17	
		GNS	
		DYNLT1	
		SLC16A1	
		GNL3L	
		MED21	
		EIF4E	
		GPSM1	
		VPS8	
		AGRN	
		CTR9	
		PPM1F	
		PUM1	
		ORMDL2	
		CCDC25	
		STMN1	
		ZDHHC12	
		XRCC4	
		DDX21	
		PDCD7	
		ERAL1	
		PDLIM2	
		TBCB	
		BORA	
		CISD2	
		CDC37	
		SURF4	
		EXT2	
		UBL7	
		SARNP	
		FANCD2	
		CAT	
		NUSAP1	
		DDX47	
		FAM126A	
		IMPDH1	
		IMPDH2	
		SMPDL3A	
		STX4	
		ANAPC11	
		KIAA0319L	
		ECHDC3	
		SAR1B	
		CCDC142	
		TNPO3	
		C9orf78	
		UBE2A	
		LAGE3	
		TRMT61A	
		ZNF451	
		NPDC1	
		PIAS4	
		SLC20A2	
		SEZ6L2	
		KAZALD1	
		ATAD3A	
		NCAPH	
		C1orf112	
		IGF2BP2	
		SRP68	
		MIPEP	
		YIPF1	
		ARG2	
		ADAM19	
		TEAD1	
		AHCYL1	
		HAUS8	
		PRICKLE3	
		ATP6V1E1	
		CHIC2	
		EMC2	
		CTNNAL1	
		TBCE	
		CTDP1	
		HGS	
		TBX15	
		ILVBL	
		YARS2	
		ENOSF1	
		PSPH	
		EIF2B3	
		PITHD1	
		KCNH1	
		TEX261	
		SERINC3	
		CORO1A	
		GSDMD	
		SPIN1	
		SUB1	
		UBA1	
		FLII	
		EIF3K	
		ATXN10	
		ADRM1	
		UBE2D1	
		DHRS1	
		EIF2S1	
		MGST3	
		CAPRIN1	
		PDLIM3	
		NEDD9	
		TOR1AIP1	
		Sep-06	
		YIPF6	
		GFRA1	
		RPLP0	
		NOL11	
		H2AFY2	
		RRP7A	
		NFU1	
		LOXL3	
		MTG1	
		ERRFI1	
		ACO1	
		NAAA	
		NFKB2	
		MBNL2	
		MPST	
		ACBD6	
		SLC2A8	
		MRPL48	
		FTSJ3	
		MUS81	
		DBN1	
		CBLL1	
		GATS	
		RBM12B	
		CLN3	
		MLF1	
		PIP5K1A	
		ICAM3	
		MRC2	
		SLBP	
		SYNPO2	
		OCIAD1	
		MRPL41	
		COIL	
		CBLB	
		MRGPRF	
		CUL4A	
		PRKG1	
		STK32B	
		EVA1B	
		PDE9A	
		PROSER3	
		NCDN	
		DNAJC8	
		MTHFD1	
		CTTNBP2NL	
		RPL13	
		DGCR6L	
		ESRRA	
		PAPD4	
		LMCD1	
		ILF2	
		SLC9A3R1	
		FAM20B	
		ZNF506	
		SERGEF	
		NUP160	
		FAM50B	
		SF3B3	
		RPL13A	
		SRA1	
		ZFYVE21	
		SMAP1	
		PDHA1	
		CDC34	
		SREBF2	
		DHX33	
		CD81	
		TRAPPC3	
		PDSS2	
		REXO4	
		SF3B1	
		PHKG2	
		TMEM101	
		TBP	
		CENPI	
		MCM5	
		KAT8	
		POLE2	
		FBXO10	
		MDH1	
		MCM4	
		MLLT10	
		MAGT1	
		RNF115	
		AFG3L2	
		C7orf25	
		PAXIP1	
		RAB3D	
		TSEN54	
		MYPN	
		LAMP1	
		LAMA5	
		PTGS1	
		TNKS	
		KCNK5	
		IDI1	
		ZNF263	
		SH3BP5L	
		ARIH1	
		RPF1	
		ZER1	
		ZNF703	
		ZGRF1	
		CPQ	
		MYEF2	
		CDCA3	
		PODXL2	
		DCAF8	
		LRSAM1	
		ZXDC	
		IGFBP5	
		LSM2	
		ARHGEF10	
		JMJD8	
		KNSTRN	
		ANKRD10	
		PLOD1	
		CLSTN1	
		SMARCC2	
		HACD3	
		CTDSPL2	
		TRMT61B	
		THBS2	
		PANK2	
		WTAP	
		PRDX6	
		RPS6	
		HDDC3	
		ACACA	
		RPS13	
		PSMC4	
		SUSD5	
		PTGFRN	
		MCMBP	
		GGNBP2	
		PRUNE1	
		MYBBP1A	
		ABT1	
		DPP7	
		ARHGAP6	
		INTS9	
		WDR12	
		REEP2	
		PSMD6	
		MAP4	
		MAP1A	
		CDC73	
		GCC1	
		MAIP1	
		PML	
		SLC39A6	
		EIF3B	
		SAMD5	
		IL17RB	
		PSMD5	
		SMPD4	
		GPT2	
		PSAT1	
		CHCHD10	
		CALM1	
		RAD51D	
		SLC26A2	
		PLEKHO1	
		GCFC2	
		PRMT7	
		CDCA7L	
		LETMD1	
		KATNA1	
		KRR1	
		FDXR	
		TOMM22	
		TBL3	
		PASK	
		SLC38A6	
		TTI1	
		CDIPT	
		RPUSD1	
		LEMD2	
		ANKRD40	
		RNF144A	
		MEPCE	
		ABHD3	
		KIAA2013	
		SIK3	
		CDKN2C	
		PSMF1	
		HEATR6	
		ZNF189	
		TMX4	
		STAU1	
		AREL1	
		SQSTM1	
		SCAMP2	
		SEC31A	
		TRIM32	
		EYA3	
		EZH1	
		PTBP2	
		ADSL	
		PSEN1	
		CCNB1IP1	
		TFAP4	
		TTC38	
		SCLY	
		SART3	
		EPHA7	
		CNPY2	
		CHMP1A	
		RANBP3	
		LIMK1	
		LOX	
		GINS3	
		RTN3	
		CCDC102A	
		TRUB2	
		TSR1	
		TCHP	
		TOMM70	
		AP2B1	
		AP1G1	
		D2HGDH	
		HIP1	
		UBE2K	
		SIK2	
		DNAJC9	
		FAM213A	
		RNASEK	
		FBXO7	
		MTA2	
		TRO	
		RRM1	
		NCAPG	
		DESI2	
		ERGIC1	
		CSRP2	
		EGFL7	
		ZWINT	
		MAN1B1	
		DCP1A	
		MVK	
		NELFCD	
		PDHB	
		PTPRN	
		CTSF	
		INTS2	
		BRAT1	
		CFDP1	
		CASC3	
		CAV1	
		ACSF3	
		UAP1L1	
		HDAC8	
		PI4K2B	
		POP7	
		NOP16	
		TIMM17A	
		TXNDC9	
		ATP5PD	
		NECTIN2	
		CDC123	
		TOMM6	
		ALKBH1	
		MRPL23	
		DDX56	
		BBS10	
		ZNF428	
		PRDM2	
		NAGA	
		BRWD3	
		CCDC43	
		COPRS	
		MRPL35	
		VPS16	
		MRPL47	
		COPZ1	
		CSTF1	
		PPP4C	
		TIMM22	
		SEC61A1	
		LRP6	
		LRP4	
		TANGO6	
		FLYWCH1	
		STEAP3	
		DNTTIP2	
		MTPAP	
		PDIA3	
		HIST1H1C	
		MROH6	
		TAF13	
		NDRG3	
		PCYT1B	
		LGMN	
		CAD	
		KRTCAP2	
		RBM42	
		RNF167	
		TJAP1	
		USP19	
		RPS15A	
		RPS8	
		RPS12	
		SFT2D1	
		ZNF827	
		PRIM1	
		PIAS1	
		USP13	
		SMU1	
		SPC25	
		RAB22A	
		CNOT11	
		MAP3K1	
		MTMR6	
		MTMR4	
		PIM3	
		STARD3NL	
		ABCB7	
		C1QL1	
		TRAF4	
		KPNB1	
		CNBP	
		RIN1	
		ZDHHC16	
		PLIN3	
		STX6	
		UBE2E3	
		TIMM44	
		TKT	
		FANCC	
		MTHFD1L	
		ARMCX2	
		NFS1	
		TMEM59	
		MTX1	
		PPP2R5D	
		GAPVD1	
		BBS4	
		CASP9	
		GOLPH3	
		CRY2	
		CARM1	
		DHX8	
		TM9SF2	
		PYCR1	
		HDAC3	
		AMOTL1	
		COQ8A	
		FAM168B	
		SMURF1	
		SLC39A14	
		EXOSC5	
		BRI3BP	
		CEP76	
		RBMX	
		ANAPC7	
		CCDC86	
		UNC119	
		FSCN1	
		ZBTB7B	
		PYGL	
		PYGB	
		CEP97	
		RNF219	
		ARHGEF18	
		MZT2A	
		ATG13	
		ARFGAP3	
		CHAF1A	
		PSMB6	
		LEMD3	
		RSRC2	
		ADD2	
		STK4	
		MCPH1	
		CLEC11A	
		UTP11	
		TRAPPC12	
		RMDN1	
		GGA2	
		CLCN3	
		ZFAND6	
		DEPDC7	
		RNF41	
		B2M	
		SYNRG	
		NRM	
		SLC2A10	
		OSBPL10	
		ANK1	
		TCF4	
		TDRKH	
		EIPR1	
		ECD	
		TAB1	
		ZNF134	
		COX15	
		CHD1L	
		SEMA4D	
		GNPTG	
		ZGPAT	
		NACA	
		POLA1	
		SMARCAL1	
		CTU2	
		RGS19	
		TDP1	
		SH3PXD2B	
		MYOD1	
		MYH9	
		FOXRED2	
		TPGS1	
		TSPYL5	
		DISP2	
		TRAF3IP2	
		GSTZ1	
		POGK	
		MED12	
		PLPP2	
		TCFL5	
		ZNF346	
		MCAT	
		EZH2	
		FARP2	
		VPS53	
		SLC18A1	
		FIZ1	
		TXLNA	
		LHFPL6	
		BTBD3	
		ACLY	
		ABCF2	
		CD320	
		DDAH2	
		LAPTM4A	
		TMEM248	
		PACSIN3	
		ITM2B	
		PSMC3	
		PSMD1	
		PSMB10	
		PSMB9	
		PSMD3	
		CARD10	
		ACOT8	
		HJURP	
		MRPL14	
		SETD3	
		MICU2	
		POMK	
		COA7	
		UBE2Z	
		DARS2	
		SCFD2	
		SRSF10	
		NDUFAF1	
		KDM1A	
		AVL9	
		KARS	
		TLN1	
		FAM32A	
		NDFIP1	
		MLH1	
		LIMD2	
		KCNK1	
		CDV3	
		Sep-10	
		INO80E	
		TCF7L2	
		PTDSS2	
		ZNRD1	
		TRIR	
		CCDC50	
		CHCHD1	
		SOX6	
		NSF	
		MAEA	
		APPL2	
		WDR77	
		UBA52	
		COPS3	
		MAGEA12	
		HADH	
		VPS37B	
		SF3B4	
		AKAP8	
		NDUFS8	
		R3HCC1	
		NUDT16	
		TPST1	
		HNRNPH3	
		SDHB	
		AURKB	
		DGAT1	
		CCT5	
		SART1	
		FAM192A	
		SRP72	
		Sep-02	
		AHNAK	
		CRYBG1	
		NUP153	
		CDK6	
		ACAT2	
		TNFRSF10B	
		TNFRSF10A	
		DYRK4	
		SUCLG2	
		SUCLG1	
		NUP37	
		RPL10A	
		HMBOX1	
		GNL2	
		SCRN3	
		MRPS27	
		IFRD2	
		TAPT1	
		RTCB	
		SEC24A	
		STK35	
		PPFIA3	
		RNF130	
		ME1	
		QSOX1	
		SRSF4	
		ANKRD17	
		SUPT4H1	
		FEN1	
		PRPSAP1	
		IGF2BP1	
		ATF7IP	
		AAAS	
		NGLY1	
		PGM2	
		PTK2	
		WWP2	
		MDK	
		POLR2E	
		CCDC80	
		CAMK2D	
		SNX21	
		WWTR1	
		TRAP1	
		TUBGCP4	
		MPHOSPH8	
		CCDC40	
		SCAI	
		MICU1	
		ERGIC3	
		PDHX	
		POP4	
		CYB5A	
		ATP2C1	
		GLB1	
		ZNF697	
		PPP1CB	
		KIFC1	
		TSEN34	
		PTCD3	
		ADCY6	
		MTFR1L	
		INSIG1	
		SREBF1	
		ZNF543	
		SH3D21	
		DUSP5	
		SMAP2	
		ACBD3	
		VIRMA	
		SNX2	
		ZFP28	
		APLP2	
		APEH	
		RPS18	
		POU2F1	
		FLOT1	
		CXorf38	
		EME1	
		TMTC4	
		BANF1	
		EED	
		DPM2	
		FADS1	
		RAD21	
		RTKN	
		ENG	
		DPYD	
		TOR1A	
		CMTM3	
		TEAD4	
		SFSWAP	
		ARHGAP12	
		ATP6AP2	
		SRI	
		TEX264	
		ARRB2	
		TEAD3	
		IQCB1	
		MYL12A	
		TES	
		GAB2	
		NME3	
		SLC38A4	
		POLR2F	
		XPO7	
		IKBKB	
		RPS4X	
		MCU	
		SERPINB6	
		RAB10	
		KLHDC3	
		SURF2	
		CTIF	
		POLD1	
		TMEM54	
		NT5C3B	
		ACO2	
		ARHGAP10	
		COG5	
		TRMT1	
		TOR4A	
		HRAS	
		XPNPEP1	
		MRPL43	
		C2orf68	
		FBXO45	
		IDH3G	
		GNL3	
		JPT1	
		PINX1	
		PIGG	
		CD151	
		TOM1	
		PNP	
		SGPP1	
		KIF18B	
		ALAS1	
		CHFR	
		GPR107	
		CAPN10	
		SV2A	
		KYAT1	
		TRAPPC9	
		ATG9A	
		SHC1	
		DCAF1	
		KNTC1	
		SKP2	
		ECM1	
		HEATR5B	
		RUSC1	
		MRPS28	
		ARL10	
		SNRNP200	
		UBB	
		SH3BP1	
		PARVB	
		RAB5A	
		TRMO	
		SARS2	
		NUTF2	
		NUP155	
		DHRS4	
		ANKS6	
		ATP5F1C	
		NUP43	
		TNFAIP2	
		EIF2AK3	
		ASPSCR1	
		ALKBH8	
		MAPK14	
		SP3	
		TAF6L	
		ATP5MG	
		DCTPP1	
		HIBADH	
		GPC2	
		FAM120B	
		ANXA11	
		TRIM33	
		GCAT	
		MACROD1	
		PAFAH1B2	
		VPS41	
		GHITM	
		WDR70	
		PRKAR1B	
		RBM18	
		TUBGCP3	
		NUP93	
		PFDN2	
		PEF1	
		PFAS	
		TMEM132A	
		SLC35F6	
		GPC6	
		ZNF787	
		CPT1A	
		CIB1	
		FCGRT	
		BSDC1	
		LTA4H	
		BST2	
		PTTG1IP	
		DDX42	
		CCDC15	
		DCAF17	
		ELOVL1	
		AUP1	
		GRINA	
		TUBB	
		MAPK1	
		PRKCI	
		GUCD1	
		TUBA1B	
		VDAC1	
		SLC25A11	
		C19orf25	
		PHF5A	
		ABHD14B	
		RASSF3	
		RPUSD2	
		ERCC2	
		OSBPL11	
		EEF1A2	
		PCDHB2	
		PCDHB14	
		ZBTB2	
		CCDC93	
