INPP5K	RGL2		TMEM53	PSD3
YIF1A	MRPL37		DAP3	PRSS56
RPN2	BVES		TCF12	TEP1
TUBB6	NSA2		DYNLRB1	AHI1
BORCS7	MBD2		RHOA	NCOA1
ZNF772	BCKDHA		MRPL24	AGO1
INCENP	P4HB		DES	FZD4
TIMMDC1	SPTY2D1		PEMT	KIAA1211
SNRNP25	FUBP3		PNKD	FTL
SOX8	PM20D2		ARF3	TTC7B
HUNK	IFT52		RAB2B	KIF3B
PRMT6	TXNDC15		TIMM29	SCRIB
FURIN	GLG1		CCT2	CNNM4
RNASEH1	MSI2		ERG28	ARFGEF2
CDK11B	LPP		BLMH	CCDC106
FBXO9	KDM4A		YWHAZ	ZFYVE26
WIZ	EIF3I		GRPEL1	DAAM2
MRPS18C	EIF3F		MVP	OCRL
CCNT1	ZNF330		FAM213B	PTPN9
GSTCD	ING5		IRGQ	ZNF562
SNUPN	MFAP2		CD46	SASH1
MR1	NUP85		PCMT1	AQR
ARSB	SLC35A2		PDCL	PTP4A2
DDHD1	BID		HNRNPUL2	USP54
TADA3	XRCC5		TMEM18	ZNF639
METTL17	GTF3C3		C3orf38	CRIM1
CEP164	ALDH7A1		RAB29	CECR2
LDB1	OTUB1		PRMT5	SMUG1
MAPK7	ERCC1		MORF4L2	TMUB1
P3H1	ASS1		DCXR	LRRC14
SEL1L	STT3A		XKR6	PIP4K2B
RNMT	TGFB3		ST3GAL4	MMACHC
RFX5	LAMTOR1		LASP1	IL17RD
ST8SIA5	AEBP2		PTGES2	PRDM5
NOP56	METTL1		PUS1	CCDC136
MAD2L1BP	CDH15		GSTM3	TNS3
GIGYF2	CDK5		MAPT	ZBTB12
THSD1	PCBP1		LONP2	RARA
RPL30	PBX3		RBM4B	ABR
USP6NL	SMYD5		LIN7C	JPH2
C1orf216	EMC8		ASH2L	UBAC1
SS18L1	AKR1A1		EIF4A1	MGA
CDK16	DAGLB		EIF2S3	FOXK2
CCNA2	ELAVL2		RPS19	CXXC5
CBR3	ATP10D		XPNPEP3	CASC4
SUV39H1	MRPL27		NPM3	ITGB5
CALD1	ERAP1		MIS18A	DAG1
GTPBP2	LOXL4		CRLF3	RIPOR1
RAB24	DIAPH1		PDIA6	HYAL2
OLFML2A	TMED3		CDS2	PANX1
BNC2	PSMA7		ALDH18A1	TTC28
FAM46A	ARAP1		MYL6	SETDB1
MED18	ATG101		VCP	NIFK
DUSP6	MIIP		UBAP2L	TRABD2A
BAHD1	RNF220		THY1	HIC2
SYNJ2	NPLOC4		STAT2	ATP13A2
KLHL26	RPS6KC1		SAE1	UBE3B
PHLDB1	POLR2C		SORD	SMURF2
DDX24	EFTUD2		ATP5F1A	DENND1A
SDF4	EIF2D		UMPS	USP37
GMNN	SEC23B		ASB8	FRMPD1
SNX30	DVL2		COG4	PAPOLA
PDCD11	COPS8		NFKBIB	OSGEP
PYCR2	YY1AP1		NID1	UIMC1
ETNK2	ALDH1A2		DUT	MARK4
NFKBIL1	CPNE1		TXNDC5	NF1
POLR3E	PARP1		LDHB	ARHGEF10L
SNTA1	AMFR		SFXN4	FRMD6
L3HYPDH	IMP4		TECR	RNF40
SNRPC	DMAC2		PSME1	FAT1
UBA2	DCP2		TSPYL1	FRMD4A
RANBP9	SPATA2L		CALR	SLC35D1
PEX3	ARNT		GINS4	ABCC10
IGFBP3	MDC1		RNF212	PKP4
PPP2R5C	CCT4		KPNA2	SUPT6H
TNS1	SAFB2		DPM1	C11orf24
VSTM4	MRPL40		SCP2	ACOX3
CDH4	ATP1A3		MAP2K1	EIF4G2
SUCO	CCDC51		ADIPOR1	ERC1
SEPSECS	DDI2		DHRS11	ARHGAP32
NEK2	UQCC2		RAB1B	IL17RC
GTPBP3	ARHGDIA		SLC25A28	ETS2
YTHDF1	BTF3		GATD1	RAB11FIP4
BTBD2	PSMB2		RBX1	UPP1
CAMKMT	PSMB4		VKORC1	SPRED2
GPAA1	GTF2B		RNF126	SFMBT2
ASB13	FHOD1		RRM2	ZNF629
YWHAB	PEX6		GHDC	PPP1R9A
RPA2	NGDN		UBE2H	MFSD14B
TACC3	WDR34		COX6A1	FBXW11
MAPKAPK3	CDC45		POLR2D	KDM2A
IGBP1	CYP20A1		PRDX4	NDC1
MRPL15	GNPDA2		LAMTOR2	CENPA
