AccNum	GeneName	cdRPKM0	cdRPKM1	cdRPKM2	cdRPKM3	cdRPKM4
NM_006023	CDC123	7.038909740468395	6.931555201173354	6.671358510815413	5.814350805044212	5.5040643387711565
NM_001351290	CCSER2	1.5483307640081738	1.1066762051501242	1.5498925492522344	0.9226662440418608	0.8972322938099982
NM_001134493	TOMM6	9.615160676511834	9.736528722338093	9.511678323073628	8.331944023192678	8.229628100853555
NM_002434	MPG	6.822470556709139	6.611244016452061	6.015727966066867	5.0888335260459465	5.103200583870416
NM_001278669	NFATC1	3.307564659005875	3.428443419627366	4.015395241196932	3.0582233734963573	2.6669516300431924
NM_170735	BDNF	4.527777522357359	5.068909395642288	4.8407484872059126	4.108660636848521	4.373005947685548
NM_170739	MRPL11	5.707075122403891	5.843933813289686	5.176118845006234	4.63101116027146	4.381286505481578
NM_014700	RAB11FIP3	1.76807722325377	2.840046383398595	3.0906176495582214	2.498707457252116	2.7970001000066507
NM_183013	CREM	4.747264212520136	4.786586138760711	4.9869459589711145	4.2857190723193295	3.782237825276294
NM_006020	ALKBH1	4.884767736269582	5.044793073078025	4.892158600314666	4.268441080885088	4.281750831925718
NM_001204	BMPR2	3.1816114939195206	3.968178435196027	4.007762043295071	3.291855261341058	3.3062223191649576
NM_007223	GPR176	3.178980452945203	3.8524002365989127	3.5523919960618593	3.012101327626966	2.011120421117612
NM_022114	PRDM16	0.1836089049805921	0.863260642342577	0.7215144857252056	0.4417513675131701	0.07577364422757732
NM_021134	MRPL23	6.709296362317892	6.845754248909317	6.580625676792448	5.469260090276229	5.645378218094636
NM_001089	ABCA3	1.120232645384104	1.4462474281364521	1.796354367847081	0.9252024797528706	0.8997685295203416
NM_019088	PAF1	5.760760055002368	5.59140706527631	5.484620747011994	4.692938909415494	4.890829655214427
NM_019080	NDFIP2	6.3991463053300714	6.360107506921618	6.135305610577397	5.596350152826285	5.383770105051648
NM_019082	DDX56	6.922444939412565	6.984638177062276	7.089230137407773	6.139075791121174	6.2462436884675485
NM_138499	PWWP2B	2.334665758691606	2.7117547260346613	2.4180054759715874	1.9683173563174965	1.5352254371683078
NM_019086	VSIG10	1.574670024300738	1.7652836809421522	1.7679274336602206	1.0958468926675773	1.4403625521825854
NM_024685	BBS10	2.832380826157102	2.2669200656860857	2.540211408347074	2.523482695967791	1.604963949648177
NM_014982	PCNX1	2.298572689518584	2.3920002775976905	2.812316219590869	2.3463787482894443	2.522719188313758
NM_182498	ZNF428	7.347413117057628	7.443989463238361	7.040057295428101	6.198051752995281	6.2181324620141565
NM_001005741	GBA	5.158266198563191	5.011878450603206	4.739463342218529	4.539512805788425	4.16988730548445
